Time,"ASZM-TEDA (42.3 sccm, 2 cm)"
2.322838226,0
4.342697552,0
6.362556879,0
8.382416206,0
10.40227553,0
12.42213486,0
14.44199419,0
16.46185351,0
18.48171284,0
20.50157217,0
22.52143149,0
24.54129082,0
26.56115015,0
28.58100947,0
30.6008688,0
32.62072813,0
34.64058745,0
36.66044678,0
38.68030611,0
40.70016543,0
42.72002476,0
44.73988409,0
46.75974341,0
48.77960274,0
52.81932139,0
54.83918072,0
56.85904005,0
58.87889937,0
60.8987587,0
62.91861803,0
64.93847735,0
66.95833668,0
68.97819601,0
70.99805533,0
73.01791466,0
75.03777399,0
77.05763331,0
79.07749264,0
81.09735197,0
83.11721129,0
85.13707062,0
87.15692995,0
89.17678927,0
91.1966486,0
93.21650793,0
95.23636725,0
97.25622658,0
99.27608591,0
103.3158046,0
105.3356639,0
107.3555232,0
109.3753825,0
111.3952419,0
113.4151012,0
115.4349605,0
117.4548198,0
119.4746792,0.145316059
121.4945385,0.412389279
123.5143978,0.682001654
125.5342572,0.802698149
127.5541165,0.891825457
129.5739758,0.961895548
131.5938351,0.992398406
133.6136945,0.996680212
135.6335538,0.994146948
137.6534131,0.997622822
139.6732724,0.997864366
