Time,"ASZM-TEDA (21.1 sccm, 1 cm)"
1.555780128,0
2.908632413,0
4.261484698,0
5.614336983,0
6.967189268,0
8.320041553,0
9.672893838,0
11.02574612,0
12.37859841,0
13.73145069,0
15.08430298,0
16.43715526,0
17.79000755,0
19.14285983,0
20.49571212,0
21.8485644,0
23.20141669,0
24.55426897,0
25.90712126,0
27.25997354,0
28.61282583,0
29.96567811,0
31.3185304,0
32.67138268,0
35.37708725,0
36.72993954,0
38.08279182,0
39.43564411,0
40.78849639,0
42.14134868,0
43.49420096,0
44.84705325,0
46.19990553,0
47.55275782,0
48.9056101,0
50.25846239,0
51.61131467,0
52.96416696,0
54.31701924,0
55.66987153,0
57.02272381,0
58.3755761,0
59.72842838,0
61.08128067,0
62.43413295,0
63.78698524,0
65.13983752,0
66.49268981,0
69.19839438,0
70.55124666,0
71.90409895,0
73.25695123,0
74.60980352,0
75.9626558,0
77.31550809,0
78.66836037,0
80.02121266,0
81.37406494,0
82.72691723,0
84.07976951,0
85.4326218,0
86.78547408,0
88.13832637,0
89.49117865,0
90.84403094,0
92.19688322,0
93.54973551,0
94.90258779,0
96.25544008,0
97.60829236,0
98.96114465,0
100.3139969,0
103.0197015,0
104.3725538,3.242E-05
105.7254061,0.012071815
107.0782584,0.047841338
108.4311106,0.094087632
109.7839629,0.139330926
111.1368152,0.167009583
112.4896675,0.210650401
113.8425198,0.246991601
115.1953721,0.2577321
116.5482244,0.326344577
117.9010766,0.347863286
119.2539289,0.392599273
120.6067812,0.413256631
121.9596335,0.460293075
123.3124858,0.511250104
124.6653381,0.56699661
126.0181903,0.62662297
127.3710426,0.696742435
128.7238949,0.794185307
130.0767472,0.907600144
131.4295995,0.957959808
132.7824518,0.975100859
134.1353041,0.987790336
136.8410086,0.997201848
138.1938609,0.997811281
