t,c
0,0
1810.5006,0
3590.3147,0
5077.2305,81.94143
6025.7915,240.91771
6958.9736,401.95007
7922.878,560.9311
9071.254,699.36096
10480.853,815.2026
12044.272,908.42267
13777.14,962.5397
15525.596,1002.2357
17350.945,1031.6514
